N=512
t_seq=0.132219
threads,t_thread,speedup,efficiency
1,0.172814,0.765092,0.765092
2,0.093914,1.407876,0.703938
3,0.064935,2.036160,0.678720
4,0.069398,1.905236,0.476309
5,0.059992,2.203939,0.440788
6,0.040941,3.229462,0.538244
7,0.047528,2.781897,0.397414
8,0.038015,3.478050,0.434756
9,0.036084,3.664227,0.407136
10,0.032708,4.042353,0.404235
11,0.036624,3.610197,0.328200
12,0.034463,3.836582,0.319715
13,0.032768,4.035022,0.310386
14,0.039337,3.361195,0.240085
15,0.034496,3.832844,0.255523
