N=512
t_seq=0.132219
threads,t_openmp,speedup,efficiency
1,0.142270,0.929350,0.929350
2,0.082933,1.594286,0.797143
3,0.058052,2.277606,0.759202
4,0.055018,2.403175,0.600794
5,0.045660,2.895715,0.579143
6,0.055293,2.391251,0.398542
7,0.048704,2.714732,0.387819
8,0.047876,2.761681,0.345210
9,0.043688,3.026433,0.336270
10,0.037080,3.565777,0.356578
11,0.034981,3.779766,0.343615
12,0.033689,3.924634,0.327053
13,0.033962,3.893110,0.299470
14,0.037938,3.485151,0.248939
15,0.035044,3.772942,0.251529
