N=1024
t_seq=1.202385
threads,t_openmp,speedup,efficiency
1,1.262836,0.952130,0.952130
2,0.653724,1.839284,0.919642
3,0.475183,2.530362,0.843454
4,0.449148,2.677037,0.669259
5,0.394923,3.044604,0.608921
6,0.349860,3.436757,0.572793
7,0.308428,3.898430,0.556919
8,0.272324,4.415274,0.551909
9,0.242699,4.954229,0.550470
10,0.246244,4.882905,0.488290
11,0.269824,4.456173,0.405107
12,0.365022,3.294006,0.274500
13,0.286542,4.196189,0.322784
14,0.246856,4.870784,0.347913
15,0.225395,5.334564,0.355638
