N=1024
t_seq=2.315089
threads,t_thread,speedup,efficiency
1,2.709272,0.854506,0.854506
2,1.248242,1.854679,0.927340
3,0.895394,2.585553,0.861851
4,0.945962,2.447339,0.611835
5,0.771541,3.000603,0.600121
6,0.845626,2.737721,0.456287
7,0.717158,3.228141,0.461163
8,0.736380,3.143878,0.392985
9,0.611938,3.783206,0.420356
10,0.609762,3.796711,0.379671
11,0.673737,3.436193,0.312381
12,0.845403,2.738443,0.228204
13,0.906610,2.553566,0.196428
14,0.728704,3.176994,0.226928
15,0.724795,3.194128,0.212942
