N=1024
t_seq=1.236792
threads,t_thread,speedup,efficiency
1,1.239393,0.997901,0.997901
2,0.727020,1.701180,0.850590
3,0.638959,1.935636,0.645212
4,0.582231,2.124230,0.531058
5,0.395435,3.127676,0.625535
6,0.363771,3.399914,0.566652
7,0.315750,3.916998,0.559571
8,0.281845,4.388205,0.548526
9,0.269954,4.581499,0.509055
10,0.243064,5.088330,0.508833
11,0.247052,5.006197,0.455109
12,0.250435,4.938567,0.411547
13,0.243368,5.081991,0.390922
14,0.243303,5.083348,0.363096
15,0.266585,4.639393,0.309293
