N=1024
t_seq=2.315089
threads,t_openmp,speedup,efficiency
1,2.298656,1.007149,1.007149
2,1.220480,1.896868,0.948434
3,0.883063,2.621657,0.873886
4,0.926072,2.499902,0.624976
5,0.821597,2.817791,0.563558
6,0.846465,2.735008,0.455835
7,0.738776,3.133682,0.447669
8,0.672064,3.444747,0.430593
9,0.599535,3.861473,0.429053
10,0.628314,3.684605,0.368460
11,0.855723,2.705419,0.245947
12,1.042265,2.221209,0.185101
13,0.699637,3.308986,0.254537
14,0.809431,2.860144,0.204296
15,0.813755,2.844946,0.189663
